V1,V2,iteration,Subject,F1_V1_T1,F1_V1_T2,F1_V1_T3,F1_V1_T4,F1_V1_T5,F1_V1_T6,F1_V1_T7,F1_V1_T8,F1_V1_T9,F1_V1_T10,F2_V1_T1,F2_V1_T2,F2_V1_T3,F2_V1_T4,F2_V1_T5,F2_V1_T6,F2_V1_T7,F2_V1_T8,F2_V1_T9,F2_V1_T10,F3_V1_T1,F3_V1_T2,F3_V1_T3,F3_V1_T4,F3_V1_T5,F3_V1_T6,F3_V1_T7,F3_V1_T8,F3_V1_T9,F3_V1_T10,F2_3_V1_T1,F2_3_V1_T2,F2_3_V1_T3,F2_3_V1_T4,F2_3_V1_T5,F2_3_V1_T6,F2_3_V1_T7,F2_3_V1_T8,F2_3_V1_T9,F2_3_V1_T10,F1_V2_T1,F1_V2_T2,F1_V2_T3,F1_V2_T4,F1_V2_T5,F1_V2_T6,F1_V2_T7,F1_V2_T8,F1_V2_T9,F1_V2_T10,F2_V2_T1,F2_V2_T2,F2_V2_T3,F2_V2_T4,F2_V2_T5,F2_V2_T6,F2_V2_T7,F2_V2_T8,F2_V2_T9,F2_V2_T10,F3_V2_T1,F3_V2_T2,F3_V2_T3,F3_V2_T4,F3_V2_T5,F3_V2_T6,F3_V2_T7,F3_V2_T8,F3_V2_T9,F3_V2_T10,F2_3_V2_T1,F2_3_V2_T2,F2_3_V2_T3,F2_3_V2_T4,F2_3_V2_T5,F2_3_V2_T6,F2_3_V2_T7,F2_3_V2_T8,F2_3_V2_T9,F2_3_V2_T10
u,iːʦ͡ʊːriːg,three,f2,507.6419131555,505.4616680627,498.1681685397,447.2079691332,437.7368422936,443.7539851538,451.6148176769,460.3091801633,467.0867496647,475.1434169094,1200.3851378952,1034.9375458476,858.348508277,924.1047606363,969.3196463796,1011.0069936513,998.9880398216,967.9637409661,941.0261628989,967.4692925018,2641.1058460301,2448.9138570405,2486.2614093955,2584.527265723,2637.2860446039,2660.2348096483,2740.5526006455,2769.3451114111,2806.150781599,2709.1505686961,1912.2284699765,1710.6414592272,1672.4393746203,1754.3160131797,1804.4941135831,1839.3237933873,1872.4861714878,1871.1104133565,1872.6502133365,1846.5648433224,560.1045955948,552.2298706104,534.6275380549,510.9813163927,469.1349062662,441.9191488651,419.990836437,407.9524980025,394.7042344935,393.030383644,1319.91105572,1404.802025869,1492.5068497288,1917.9153107885,2114.3134283621,2281.4068923712,2371.327237942,2484.5420957257,2591.3603747361,2595.427350192,1960.1353637198,2013.1554490576,2492.3088572275,2616.0579213932,2627.5459229142,2675.6724074645,2754.0090411867,2772.5408889163,2857.6531528819,2995.2987619381,1640.385078634,1709.1145843339,1992.4078534781,2272.7589047913,2364.2521760057,2478.5396499179,2574.437203797,2613.4127312246,2738.127841661,2795.3149865622
ʊ,ʊːpʊɮʊːr,three,f2,401.9115707374,399.7751443762,394.0730130733,390.5587588691,388.1065124744,389.9399063262,390.4205935915,383.353559435,376.1635741526,362.5902046416,811.3791411723,810.7485738643,822.6334836195,848.0226618431,860.7847717407,874.1478309829,877.5137163471,879.2177389511,882.3919353253,896.9208379378,2823.7799233713,2828.1496927101,2838.4447069487,2836.956975725,2800.6279688664,2784.210676777,2784.5062613766,2781.2966845939,2784.5405281119,2808.7270502898,1857.2260847724,1833.1233860335,1835.3771216623,1838.8568170953,1834.9656224043,1829.9401409118,1829.8659927269,1831.4527232595,1837.7545941861,1869.5783049962,449.2149403536,407.4983406853,392.9814598477,366.2098114592,342.4324019909,333.6859876371,324.6844407813,321.6909274094,321.3460080469,325.9682337385,1531.0801701785,1164.4352791312,955.3817442771,917.951958887,807.6684881103,797.7950183128,796.4716347977,793.5073519911,781.4940268015,767.1610235125,2746.7313508573,2692.02565295,2709.5708096914,2735.5306428617,2699.2055336266,2690.0985743254,2690.2686020445,2685.4489901486,2684.1790792676,2739.4790230825,2138.9057605179,1909.9022019045,1853.6463306131,1833.5867401976,1752.8147410341,1744.8576014308,1742.5700674915,1739.235728484,1735.0266597214,1752.9617998431
ʊ,aʦ͡ʊraɮtʰ,three,f2,512.7349092935,531.2934319175,510.2579218112,505.5721778977,499.8666731459,480.2979748272,479.8809222462,491.9042366392,496.8162426979,498.9431605788,1181.6291110368,998.0220805818,936.5904354106,940.8511462127,876.6176843025,856.5258622192,856.4306414913,885.6628984925,893.8024468713,956.792160151,2571.478603496,2464.9914282371,2511.968120492,2560.521042204,2547.6747550345,2544.0078621438,2627.8432698399,2755.3810457329,2887.138120643,2688.5380029302,1876.5538572664,1735.1643401383,1721.0354651663,1754.589907271,1715.9841518656,1699.9194449515,1740.4643021894,1828.7240522851,1889.9437878282,1823.9597765455,535.8370023721,533.2274958164,520.6476768626,519.8318431778,520.3330171959,521.9694166091,523.6903267153,526.4216002097,523.1569412514,512.1625672468,1207.8440883735,933.7389896754,883.0402162611,855.0107624054,852.6921156012,854.2179603981,861.2369581785,875.6463520736,925.4974844123,1052.2845254036,1834.8836188372,2210.6482714962,2500.5316060787,2620.0876178226,2698.3847063734,2755.8650042533,2782.1201834984,2813.9404313863,2811.3614675466,2809.1984242418,1491.6463197614,1572.1936305858,1691.7859111699,1737.549190114,1772.6681844993,1805.6690588341,1821.6785708385,1849.5967903649,1868.1697494402,1928.7172874105
ʊ,atʊːɮaɮ,three,f2,505.4517196167,499.9996507555,457.0792485516,440.3843436265,460.2608296011,489.8058157682,494.1866727777,496.5903083705,499.1995900391,511.4208823994,1151.183198694,990.2090626938,929.1586744189,1003.3838972092,1006.9840508405,957.3185623884,881.0657304049,884.2773751399,906.8927638309,968.946360532,2748.8362490165,2751.0358645005,2748.2512415077,2798.7227280732,2862.7337403637,2895.029522901,2883.4487269831,2929.8414605293,2931.4812540545,2884.0257805873,1952.9283557462,1870.2035471228,1845.0211623634,1901.0533126412,1934.4193351002,1921.8023571927,1881.0203554904,1909.1903968732,1919.5806592498,1927.8727533214,762.5846892901,799.905047227,820.6872270884,833.3594163406,840.9232232759,841.1915631531,840.9790422712,839.5242590814,828.4454452414,788.6943620776,1463.9843627463,1458.5843732043,1458.5791347381,1459.2681552042,1460.0093850246,1461.7398007266,1464.5106108621,1466.6817267803,1466.2574384774,1464.3863023388,2842.4013639174,2843.0809071604,2857.9933185187,2883.6229656073,2890.5557209124,2885.5505459869,2874.4395624984,2619.5545177821,2309.373208239,2380.4622943726,2163.9428944318,2160.1301470034,2162.8190309745,2168.0800790434,2171.7934782238,2170.009381747,2165.8220439759,2045.7057141585,1888.9030908208,1908.343675879
ɔː,ɔːpɔːɮɔːr,three,f2,553.3433202268,696.7992859861,755.2238204275,780.8951068757,793.3505990339,749.5140573454,725.5546509085,722.8086089079,735.9241215669,760.0360189191,980.2093848819,1045.9022132266,1111.4440254824,1137.6267381643,1125.7021462832,1104.3880271894,1093.5587087438,1100.3183337836,1127.374755397,1170.8004690883,2623.3519665235,2624.3215800213,2679.9933414417,2707.5007293859,2778.0624206823,2761.7904722191,2790.6429273384,2791.8955838761,2723.160536935,2756.70397709,1793.4837860468,1834.4144711247,1895.718683462,1923.1823559442,1949.0211905451,1933.1828597633,1940.3243396733,1946.2119463442,1921.8228251878,1963.7522230892,718.239574405,789.8195718273,813.9358909846,793.9446100393,776.2243904298,774.6658045513,813.3546157927,815.8509990234,815.251635868,785.3177585129,1264.0703451674,1205.3669528438,1127.6846197342,1123.538573794,1141.9423816749,1154.4920634992,1135.0303934656,1138.7076925157,1158.5808607157,1192.2846377045,2829.9124481921,2830.3600300729,2799.3670244853,2778.425240503,2780.8855504279,2964.448460916,2996.3199155982,2985.1113408637,2943.1429642079,2801.405418802,2036.5343574047,2016.2573537449,1965.2202677666,1951.4795900136,1961.7974570561,2060.9841112187,2064.364005116,2062.34218665,2054.1151821654,1997.0904919164
u,epurteɮ,three,f2,407.2779148953,393.9547696494,382.0363447106,384.1726877144,385.6806143994,385.001671676,383.5093840187,374.6338345078,362.0273865297,359.4171587214,963.7517003954,766.8182275179,728.6302976433,718.9875977044,725.8054581212,741.8537348266,830.9718458302,855.9596801623,907.2070010581,912.0260417582,2579.8350500471,2592.6061041056,2574.676775865,2604.5953859463,2660.9838153632,2739.1799230415,2769.3204252475,2788.4033976503,2770.6704686664,2697.2665864609,1756.2228033629,1717.2645567882,1705.0642196121,1707.1397562635,1716.0099063812,1777.0251479263,1811.6074427403,1832.3864780365,1828.1481165675,1813.7355264973,374.9626834414,376.6342789496,377.560889819,377.0333268647,376.5057639103,375.5090970968,368.0047794171,359.2542506818,349.2905251579,335.6008958481,2131.8689627533,2080.9010511672,2015.1440193097,1943.7642042038,1924.9704925217,1937.3579364206,1949.7453803195,1982.7524186077,2035.8328028865,2088.9097600971,2875.4361592517,2763.4785883352,2642.5413705308,2615.0318420849,2623.6501348842,2653.690574253,2683.7310136216,2741.1679220325,2825.2755200614,2867.9562251924,2430.4368150486,2323.9022291668,2217.3361827436,2179.4072449007,2181.9403171884,2208.4655119356,2234.9907066827,2283.7524676926,2354.1617102103,2427.4754697175
ʊ,isʊɮiːg,three,f2,513.666122265,510.4866909479,510.0704613038,511.9984060231,516.2653081828,520.9143848692,530.127261949,537.7150957359,540.2742557644,530.0793215219,1013.8330485549,979.4062318364,970.0131316292,962.2193020873,958.1038993319,959.1754964137,963.1631442783,978.7782455809,1005.651104993,1046.4331270984,2633.5612085006,2544.5743436902,2508.1704082417,2479.6428756726,2465.58962039,2457.4481308308,2453.2138010456,2452.5968791305,2453.0955598462,2454.1411066098,1808.8140139076,1762.6205523807,1739.8362494298,1718.431632366,1708.1216527851,1707.5245218202,1710.9269815344,1717.3899599122,1727.7323038721,1749.3350865576,409.876059135,405.1523091771,390.7042021142,377.3839112937,340.6571717386,326.294289509,325.7372924812,309.8591647402,301.4316126051,304.6512161142,2259.6052382046,2462.6249170803,2620.3022402661,2631.119101625,2650.9994528616,2670.5756479879,2741.0343331259,2744.5643068087,2746.9269374837,2749.1556057268,2976.1645859433,2985.801534228,2984.4820801578,2949.4499658658,2880.1336448698,2767.0655310128,2760.6633552881,2761.8164836867,2767.7792691597,2791.8004912594,2624.1839471976,2744.2411853045,2761.0137297953,2767.2384483309,2765.2159523303,2744.65486873,2749.4122370779,2751.5559318065,2754.1511297185,2775.7280553532
œ,œtœɮœr,three,f2,363.0364491711,356.2486794769,349.8104925556,346.7330728721,344.1112474734,342.9245909481,342.9261488289,343.3232395631,345.123371283,345.9120750182,1896.8056861478,1886.3621655744,1800.7183271572,1639.4331442076,1447.3022318962,1339.9064582077,1315.1499612489,1315.6299007062,1318.9509818656,1490.4908075547,2945.1411660669,2921.2531189165,2899.918059597,2882.2670620784,2871.3889498665,2862.11931523,2850.0539314257,2822.1988971285,2790.1208248258,2775.3092307706,2420.9734261073,2403.8076422455,2350.3181933771,2260.850103143,2154.2244823933,2101.0128867189,2083.5479081232,2079.0234462315,2084.3965362696,2105.9631266489,444.4916334644,434.7092167971,441.9222773906,449.7711619536,456.4028390925,465.8204655661,469.3553287703,474.5836596444,477.9339369917,476.1202502472,1773.3768783898,1417.0115703292,1288.2944749599,1178.2091219508,1176.4758442019,1183.7217201211,1189.067446042,1203.4822462113,1222.1524577891,1254.750037081,2778.6887673297,2751.1117743873,2658.8300782565,2641.7406876924,2706.5567128686,2676.7094872283,2646.4738311388,2667.2321418841,2701.9049307729,2698.7530162393,2269.410174832,2095.0635850112,1947.3721627836,1930.8440692341,1944.7010918673,1930.20345546,1917.6110795787,1934.7505807811,1962.028694281,1995.1717296763
u,etuːɮger,three,f2,339.6956682331,337.509238187,336.6550856811,331.902732099,327.7784051819,328.4954152096,338.043857911,341.9923767842,352.2677791205,351.0338307232,914.2202535331,851.2915895151,837.8490104917,835.2768987713,835.9198241109,851.3380228372,899.8668180515,931.3010756031,1021.5627244305,1260.0839738314,2454.4100952766,2472.3078275741,2534.6868357528,2536.2272354624,2545.5966072129,2558.6231989517,2562.8445511209,2609.0010310199,2684.2001526661,2759.372476411,1680.1671374062,1677.6832194489,1682.9989335616,1685.2702706464,1692.8003066295,1717.0258486564,1732.8452061471,1754.4412785696,1852.8814385483,2017.311038848,357.8901720898,374.1730560842,391.0359152384,409.7189250484,427.0729276609,437.8633320935,443.7085906366,447.1633838511,448.0863622026,446.3730172606,1792.560725154,1792.0533611793,1790.9892976247,1792.4181831353,1798.1498836829,1829.1870001366,1887.8491262695,1926.8989519016,1908.7417061028,1872.0829314976,2683.8692689583,2674.1833521668,2666.342874873,2665.5748223352,2665.8197902223,2666.7238445819,2670.9557387522,2684.6859507217,2709.2859504558,2715.9118583444,2238.2149970561,2233.4683758525,2229.9337728878,2229.6014858459,2231.8139066524,2246.7839681967,2279.4024325108,2299.3833828647,2299.9385350713,2296.1186397334
ʊ,ʊːʦ͡ʊrgʊːɮ,three,f2,503.6892677098,485.4403499762,478.8124393127,474.2351339668,471.2123936367,466.6365743229,463.1875643801,460.0749276508,459.631751506,458.6058186463,1521.2497531724,1473.2087954127,1431.0403233349,1350.4467735747,1276.8848672322,1219.4643916717,1169.2365919125,1132.1574676971,1114.6752458888,1111.6034904863,2634.674897225,2619.0446833319,2616.3725902664,2618.8038903268,2635.3172791343,2647.4233519484,2677.0971080057,2730.1141993997,2745.308758785,2747.6264555618,2072.4880071599,2029.0239471354,2004.6843320853,1979.3021109977,1956.1010731833,1942.6944839214,1939.5524096962,1939.4474275859,1936.5507318122,1933.2604441419,465.117068373,454.0391664917,457.5138876283,467.1105502943,478.9369174424,491.7084110589,492.4354080529,491.5551246841,495.481244793,513.86138876,948.9455624856,1058.7554748905,1074.2567470065,1051.6198084004,984.7793238973,967.6219448901,1032.890256955,1123.1541698802,1172.3235615032,1228.3772028168,2736.8601391698,2749.7942876561,2805.668153136,2826.8899254977,2810.4091152889,2835.5971350931,2863.7556109264,2869.4061817113,2853.451358228,2843.556516997,1845.5773660033,1897.0826524164,1941.8314773468,1942.5361575721,1888.2256558111,1896.3704019026,1950.7761028057,1997.9623424318,2012.8480343483,2033.9438875405
i,etijɮeɮtʰ,three,f2,284.1914318585,278.7190954578,278.1881542433,281.8775285412,281.4046797217,293.9310930489,295.0288064158,290.2454195937,282.4600687739,281.4299569568,2746.360588992,2702.4543737002,2679.0119299385,2558.0485862403,2556.3733706352,2617.3040086577,2648.0644701268,2654.178814557,2655.2424463422,2632.9301795794,3256.3663108683,2975.904151674,2927.5496014359,3186.6972527661,3435.1525799415,3374.484405877,3373.8710352182,3377.751821157,3382.4221418297,3363.3874096302,2974.3978143709,2850.6826422034,2807.1518008892,2835.4009675753,2961.8782797958,2986.1381927826,3005.7195630083,3015.8211060424,3017.9180853193,2999.901144803,427.16433588,381.2437801075,347.9350703582,347.8760725096,347.4649609364,345.3352320024,339.8803477288,334.3242602526,335.0136391545,336.175841754,2468.7389049486,2509.6352129507,2533.1390182473,2539.3792478907,2543.3954132069,2544.0297446468,2541.5203728523,2533.2314027166,2494.218779944,2466.8318358249,3032.8995535653,3026.7112524367,3025.1596059678,3020.1211043048,3012.6621919093,2984.7420854477,2955.3622379759,2943.3860978602,2944.5169745257,2957.0867055812,2757.8602816641,2766.9899887342,2775.4124343596,2777.919249124,2777.2509633478,2766.634340752,2742.5884189498,2733.5925070562,2727.1245266483,2725.3023395092
œ,itœɮijg,three,f2,371.6589291458,367.696968691,364.1199490281,361.5846569022,350.8188056879,343.5795790874,342.553864531,341.6638355999,338.5450452688,336.152191188,1920.2853677163,1859.0063912732,1789.1007285136,1554.8348485205,1330.2817895423,1286.2348557374,1276.185520277,1282.3898297883,1319.1449632345,1596.049117862,2909.8230658362,2898.5408193533,2889.6343851676,2877.6610065378,2871.9747523692,2870.1441259983,2861.6572210081,2856.9888436063,2837.3933488405,2834.6285692049,2408.4105119173,2377.2319431457,2340.589195199,2216.2479275291,2097.8881425534,2077.1707089003,2068.9231486921,2073.7703708807,2087.9087170028,2201.3303095877,285.7903821592,267.6946284148,252.1950211812,249.6553409952,250.8075220535,264.7496360835,275.4233059819,281.8265106522,289.975262927,294.8044580591,2571.7847220899,2632.4749352329,2726.8720091241,2744.5239663575,2746.5814972699,2652.7466707027,2655.2371673079,2656.3233227564,2635.3624436642,2639.3327661297,3033.9446302032,3064.639537397,3263.0634907125,3408.9442770943,3382.6792443092,3296.9758408458,3303.1039597918,3310.4866387632,3271.1878850968,3135.3035973986,2788.8052644318,2831.8069921191,2994.9677499183,3078.1849676544,3070.4164864829,2972.8495301,2975.5305433797,2982.1024419913,2951.134600708,2887.3181817641
ɔ,ʊːtɔɮʊːɮ,three,f2,722.2298032976,735.1531893903,755.3564906733,763.811045122,764.4700955257,764.379247318,764.9294041087,764.4999099596,755.6884830788,734.3309416726,1325.1814354946,1256.2837976588,1220.0596644474,1181.2862593617,1154.2184673144,1149.3687127274,1155.2159702821,1164.3531127886,1185.0230852631,1213.2123627905,2856.6777806289,2827.3589148157,2760.7683516645,2740.3775257064,2716.4372600251,2707.3316205527,2704.1539964964,2696.364667855,2697.911648222,2740.6782873759,2105.4891505008,2058.5286401525,1990.4140080559,1960.8318925341,1926.1208439219,1924.3195098532,1925.270118135,1926.8725552793,1936.6069246571,1976.9453250832,581.8580825017,545.9218396298,523.2525561821,530.8153930185,518.7380143953,515.3126353319,517.360890815,523.5067071875,514.9324326348,500.4836649185,1108.8974427769,1038.0492214234,907.7950980443,821.5964787398,849.6500017411,861.662414255,891.2930556037,957.394772584,1079.1650124848,1142.5405164824,2781.8668359159,2753.0164224241,2758.1544713806,2757.2591899628,2726.0251196515,2679.1408748251,2671.6639738772,2670.7787115182,2678.4540911224,2713.8094973459,1950.1098508408,1887.697631229,1832.2813211765,1787.8453375789,1781.8368389708,1772.7802009523,1780.1870123075,1808.4545393405,1876.8527129013,1928.1750069142
œ,utœrwuːɮ,three,f2,385.8142828151,364.3502427239,350.3147621441,344.8361606478,336.278118091,325.5558744118,317.4757781648,313.3078722675,309.0621366296,305.5127740629,1678.4355193306,1532.6868432409,1204.0244049249,1025.9908376736,947.8187452507,927.0221034277,923.874128034,923.2883951905,924.6611759051,928.9550114867,2765.2779593067,2737.7996971181,2739.6567571752,2743.4049261807,2748.5129986999,2742.2615470256,2732.8986411182,2688.2365437314,2633.273855227,2626.6243690337,2221.8567393186,2129.5285993996,1963.3849804499,1876.3844842869,1849.3051940031,1842.0871587489,1834.5746890173,1805.0982977193,1779.508071779,1780.1749806634,494.712843036,379.5081235194,358.1246089423,359.2564403969,360.6379217912,369.7639117532,371.8739403699,339.7823356805,342.697803357,368.9264943714,1061.6768061496,850.3856709122,805.8140575652,786.565006395,807.9293533864,826.0163275967,923.3185839129,976.4310595533,1041.5999151094,1244.9125765374,3053.4353728083,2851.0428998724,2643.2867079032,2734.0448507039,2910.0180838531,3000.8743405017,2889.7319339741,2671.9456119482,2603.4000958587,2574.8549780516,2088.3959510054,1807.5934298351,1743.9498823375,1813.5725735661,1858.9737186197,1909.4216793528,1902.7693624409,1822.9423621626,1823.3469005385,1900.2006254973
œ,œpœrœr,three,f2,390.0801640737,383.702704959,390.9499485783,398.8797880889,406.7370024247,412.3455572131,416.7665155447,419.0998222543,418.4911766465,424.2273563071,777.2959630517,800.2281333266,852.9199907335,871.4652057244,879.9307192414,890.0088994979,895.295386777,906.9999843608,916.1163113566,950.5860851326,2978.7463462861,2953.9227876233,2886.1373481739,2858.0487549466,2787.9804309193,2749.4860038487,2666.1158203046,2654.9296668822,2583.1188667311,2774.751711072,1916.5472841795,1879.4352143723,1869.5702648565,1860.3484101339,1832.18359096,1820.6233530763,1781.8635693523,1780.8552271526,1750.8653785067,1862.6688981023,448.7292364552,451.291799718,451.2419481237,450.8945137164,451.4403389721,453.2136640876,456.33809779,458.5848664285,463.4947823966,466.9130344013,1173.4405827554,1158.6468134327,1151.7920828654,1141.6131942611,1121.1543923723,1102.7836308234,1092.4315850384,1093.8457365085,1106.8266164089,1124.9081785134,2519.2447048399,2600.2648216935,2639.5587223987,2682.1994092105,2687.0120884538,2679.8369025712,2671.4565159251,2677.0785717622,2729.453392376,2733.4000983603,1862.6144343323,1879.4558175631,1895.048477694,1906.8904142213,1906.4493181251,1891.3102666973,1882.188471704,1887.3566849857,1919.3779910715,1931.00833975
œ,œʦ͡œɮrœɮtʰ,three,f2,390.0874993899,381.3464907072,390.6802141261,404.933629951,417.0378050087,428.211591616,435.749373418,438.4410479473,445.8352592169,447.1503113398,1713.1482709495,1585.2642235526,1221.0459213704,1186.5674850326,1108.0341616517,1114.3552883409,1128.8406156458,1137.8277442833,1159.6338346365,1194.4038661559,2888.6651025583,2826.2597141568,2789.1363683457,2786.2536353043,2780.9456829371,2771.8344126448,2763.6865219046,2820.577431054,2824.1353463711,2785.0106830612,2291.0099020665,2199.4473414926,2012.0463657594,1992.5200863684,1945.3172020619,1942.5519911178,1946.2302217247,1976.6042809159,1992.127921639,1996.5724820437,435.1783055813,436.0877482911,436.9971910009,437.9066337107,438.8160764206,439.2683183687,436.1956896396,433.1230609104,430.0504321813,426.9778034522,1805.142089026,1800.8878874348,1796.6336858435,1788.6739558036,1779.8910006002,1771.1080453968,1762.3250901934,1753.5421349899,1739.9598254398,1719.5111622616,2794.7305805386,2784.4686963106,2774.2068120825,2763.9449278545,2753.6830436263,2742.2085166357,2721.3849043557,2700.5612920754,2670.8933954989,2628.5721336613,2334.6654329159,2312.1778518951,2289.690270874,2275.9964338204,2264.2562267052,2252.5160195901,2240.7758124751,2229.0356053599,2208.6371294305,2175.8514173878
i,uːpiɮpuːr,three,f2,396.7872755611,344.4842974885,312.8231882725,310.4656489632,308.2702369351,306.6391048803,305.7398064678,300.8670600781,293.887341466,276.9243793223,2248.776557883,2396.5849710191,2493.7190728199,2656.7184198151,2697.7590917202,2607.1693709126,2534.5183446027,2557.0720139588,2538.4754273445,2482.5726737946,2770.6395850727,2783.6690788287,2825.7690452673,2937.290814932,3063.4948051717,3051.1215822756,3081.6422466119,3144.8803515099,3160.3960288357,3158.6133665764,2543.9279652971,2581.6217035664,2659.7440590436,2807.8357837474,2891.7407871279,2856.5985170795,2826.1878137557,2835.7214585633,2845.6541015324,2789.7307401809,374.5894800473,311.3032851902,307.2094760274,299.7475076798,297.4587577333,298.5472901328,302.5962046543,303.4263473804,362.9754101148,413.3510653223,729.8491368781,720.8854696442,731.4708979244,742.2258631058,776.7492987654,784.8176171919,787.547831426,798.8961352831,858.9459069356,963.6825622569,2495.1200990606,2577.5369958862,2604.0121226496,2645.9158215036,2648.1312576982,2660.9362898982,2738.2194532615,2977.4812013619,2928.8889156408,2907.9581092062,1693.6441503085,1659.8734630727,1668.9626336388,1696.8046367016,1710.9113527083,1716.1560018708,1768.2944195366,1891.7793238893,1898.4283347185,1927.929328899
a,iːpaːɮiːg,three,f2,1134.2938241227,1180.2277146331,1185.7943237574,1261.9272469442,1248.1569441394,1234.9952392222,1194.8444944033,1088.1748555905,1049.5231763839,1047.4991403319,1585.3532062036,1615.4389438804,1620.1693730744,1624.185133078,1611.2945218027,1592.1855589427,1519.5204088398,1495.6253109707,1523.3806913641,1559.2543668788,2683.7361389136,2731.8548900947,2746.9298094306,2914.3088355796,2912.5487075911,2889.7085159607,2916.0466772194,2931.1142828108,2855.5767691247,2738.8147179637,2138.7757905839,2164.4856695332,2179.9455094345,2265.3060117584,2257.1985214383,2240.2886317914,2226.3930086076,2215.2770233039,2195.5781043163,2150.508574433,456.3314526337,423.1229753654,411.3124183591,404.2242241767,386.7775872092,360.1115307977,335.2646206266,310.9433090244,317.0817781199,348.0497288528,2321.7169644248,2472.7787563459,2519.5924095633,2585.516397281,2618.0077070038,2659.9256539068,2652.8219075844,2586.1093679554,2572.8766146067,2610.064991796,3065.8878837509,3093.680203144,3138.9408218338,3158.9862033989,3166.7722057108,3188.8979844495,3200.251268119,3198.9678760682,3184.838584826,2839.8478265538,2681.5093727734,2783.2294797449,2829.2666156986,2877.1748780928,2892.2488516595,2924.9096912797,2926.1643227863,2892.7221293499,2876.8755279776,2731.436860604
ɔ,ɔːtɔɮɔːr,three,f2,708.7726403116,725.3244959778,753.1158632267,766.5519979079,772.961940686,780.6530969141,783.2121300087,780.6397967001,757.25643986,697.9168539445,1491.7040591074,1417.0421485814,1353.2940553993,1293.9724137644,1252.9342905738,1228.1321864676,1218.13712351,1208.0466181952,1195.707134131,1203.3166495394,2852.4767253731,2832.1704521211,2723.004312754,2602.636053064,2528.2204884313,2469.0762655509,2437.8144460165,2418.014320009,2393.392848265,2392.4745565133,2172.0903922403,2124.6063003513,2038.1491840766,1948.3042334142,1890.5773895026,1841.0144966702,1830.1157118989,1814.2737955322,1794.8855527491,1790.7523156974,781.1042089545,783.5441361358,764.061304368,735.9256202579,716.8990856556,776.0828058614,785.9976003893,754.1033237619,733.0931694663,715.9668610083,1297.2664353101,1198.0534679602,1147.9283569913,1112.3696387091,1112.7966287857,1094.3513371195,1084.674379751,1086.694929902,1108.416466216,1150.718338458,2728.4908419119,2510.5058918642,2469.512793016,2465.5848787347,2498.2278180279,2574.9606630551,2529.4865217878,2499.1691533648,2500.9652883433,2507.7059473303,2012.878638611,1854.2796799122,1804.9734163488,1789.4897423109,1804.302332342,1837.0696911747,1810.3551060893,1793.4142731383,1805.7957345333,1829.2121428942
i,ipijrijg,three,f2,289.6034649104,282.6222490586,279.0476723662,278.3850751956,278.0444458601,277.8047311625,277.236582757,275.9706991343,270.3387620086,264.9943928231,2701.0545604866,2709.4649095097,2714.5851959055,2703.3590950462,2689.1024464804,2679.9921455855,2675.0368711204,2673.2829055767,2656.3537298496,2621.2530398156,3160.2245262531,3236.0752612739,3281.9826600977,3336.0132939164,3378.9324811628,3414.5581880537,3445.5924416205,3477.113984425,3507.9073634826,3519.3145461594,2930.6395433698,2976.5895248608,3010.3530559784,3021.6240103021,3029.3714714296,3042.2319876748,3065.4779874524,3068.7933872287,3070.5494698503,3074.3354740733,313.0123771198,314.897384525,315.5504293291,315.9120832728,315.7757529907,315.2383483876,314.6113155633,312.4103268501,311.489150994,311.1079672946,2413.4857018579,2436.4580088093,2443.1352455776,2447.7928571094,2452.6909437217,2461.3184822273,2478.4689097551,2508.6065148219,2547.0911339188,2570.5901597188,2791.6942345915,2822.2086977134,2852.4996009846,2866.9035449418,2874.8882150607,2882.608650787,2891.3337227145,2902.6114787197,2951.039452034,3023.7143757939,2602.5899682247,2629.3333532613,2647.8174232811,2657.3482010256,2663.7895793912,2671.9635665071,2684.9013162348,2705.6089967708,2749.0652929764,2803.3947649882
i,uːtijɮuːɮ,three,f2,270.2409114447,275.1043042524,279.4115428106,280.6980864944,281.3768650999,281.5810882034,282.4412299568,282.8038746213,282.4736282498,282.7853347319,2534.0837205685,2564.3830181552,2614.7778224591,2557.1163802145,2435.0109105755,2380.2570801286,2323.0116993587,2235.1035105717,2203.7891557596,2199.7476264599,3415.417333107,3411.9716000567,3365.1518541822,3325.1937516722,3079.5386510728,3006.0020369299,2997.1452266336,2996.5008815937,2983.3225316791,2993.8590442362,2964.1626737248,2986.3313374665,2960.6102111067,2905.8889556701,2769.0611258647,2697.4359613284,2663.7696487756,2613.9732655759,2588.0379628814,2585.4405126562,375.5076061659,382.164568259,327.4781406071,305.4215757368,301.0444125327,373.5215587365,424.0266063339,318.8457374297,307.8425028079,314.9826451883,1811.6134312813,1113.8030316078,780.6263061578,768.4311081575,768.6371726503,799.8605570026,823.5398990876,774.2615798446,792.7583027854,964.2183067229,2934.8159234877,2881.2018487361,2882.2729266222,2865.083204501,2863.3510338865,2830.8113425442,2852.7556743859,2830.5113723586,2813.3507797235,2827.3704346319,2351.7552018486,1965.1530094341,1840.6014143353,1814.7922686431,1817.5632310208,1828.6961056399,1875.8402242174,1814.2753591142,1797.612126254,1929.6602881219
